op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
PAD,122,151875.0,0.0023420786,2.4808496e-05,0.0039216024,5.647885e-06,0.007843138,-1,mobilenet_1.00_224/conv1_pad/Pad
CONV_2D,126,401408.0,0.01004882,0.0005972138,0.095337845,0.00010413448,0.023529412,-128,mobilenet_1.00_224/conv1_relu/Relu6;mobilenet_1.00_224/conv1_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_1/depthwise;mobilenet_1.00_224/conv1/Conv2D
DEPTHWISE_CONV_2D,130,401408.0,0.0599093,0.0010507149,0.37070814,0.0036000619,0.023529412,-128,mobilenet_1.00_224/conv_dw_1_relu/Relu6;mobilenet_1.00_224/conv_dw_1_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_1/depthwise
CONV_2D,134,802816.0,0.053267423,-0.0014466905,0.60244393,0.0028792862,0.023529412,-128,mobilenet_1.00_224/conv_pw_1_relu/Relu6;mobilenet_1.00_224/conv_pw_1_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_2/depthwise;mobilenet_1.00_224/conv_pw_1/Conv2D
PAD,138,817216.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/conv_pad_2/Pad
DEPTHWISE_CONV_2D,142,200704.0,0.016932156,-0.0016655719,0.111660786,0.00028997054,0.023529412,-128,mobilenet_1.00_224/conv_dw_2_relu/Relu6;mobilenet_1.00_224/conv_dw_2_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_2/depthwise
CONV_2D,146,401408.0,0.02714122,0.0013342629,0.27209842,0.00074243965,0.023529412,-128,mobilenet_1.00_224/conv_pw_2_relu/Relu6;mobilenet_1.00_224/conv_pw_2_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_4/depthwise;mobilenet_1.00_224/conv_pw_2/Conv2D
DEPTHWISE_CONV_2D,150,401408.0,0.019863367,0.0011843024,0.20260601,0.0003970444,0.023529412,-128,mobilenet_1.00_224/conv_dw_3_relu/Relu6;mobilenet_1.00_224/conv_dw_3_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_4/depthwise;mobilenet_1.00_224/conv_dw_3/depthwise
CONV_2D,154,401408.0,0.029169975,-0.0004015544,0.38850403,0.00085142837,0.023529412,-128,mobilenet_1.00_224/conv_pw_3_relu/Relu6;mobilenet_1.00_224/conv_pw_3_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_4/depthwise;mobilenet_1.00_224/conv_pw_3/Conv2D
PAD,158,415872.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/conv_pad_4/Pad
DEPTHWISE_CONV_2D,162,100352.0,0.0075945915,0.0004612568,0.06091676,5.7905367e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_4_relu/Relu6;mobilenet_1.00_224/conv_dw_4_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_4/depthwise
CONV_2D,166,200704.0,0.021500215,0.00028528206,0.17756097,0.00046268437,0.023529412,-128,mobilenet_1.00_224/conv_pw_4_relu/Relu6;mobilenet_1.00_224/conv_pw_4_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_6/depthwise;mobilenet_1.00_224/conv_pw_4/Conv2D
DEPTHWISE_CONV_2D,170,200704.0,0.015118252,0.0009395191,0.16837975,0.00022963043,0.023529412,-128,mobilenet_1.00_224/conv_dw_5_relu/Relu6;mobilenet_1.00_224/conv_dw_5_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_6/depthwise;mobilenet_1.00_224/conv_dw_5/depthwise
CONV_2D,174,200704.0,0.015844172,1.1021687e-05,0.17584912,0.00025134097,0.023529412,-128,mobilenet_1.00_224/conv_pw_5_relu/Relu6;mobilenet_1.00_224/conv_pw_5_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_6/depthwise;mobilenet_1.00_224/conv_pw_5/Conv2D
PAD,178,215296.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/conv_pad_6/Pad
DEPTHWISE_CONV_2D,182,50176.0,0.0067973062,4.6701402e-06,0.047060624,4.621011e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_6_relu/Relu6;mobilenet_1.00_224/conv_dw_6_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_6/depthwise
CONV_2D,186,100352.0,0.018596794,0.0006468354,0.18043953,0.00034640497,0.023529412,-128,mobilenet_1.00_224/conv_pw_6_relu/Relu6;mobilenet_1.00_224/conv_pw_6_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_6/Conv2D
DEPTHWISE_CONV_2D,190,100352.0,0.01229484,1.5452866e-05,0.1777653,0.00015129488,0.023529412,-128,mobilenet_1.00_224/conv_dw_7_relu/Relu6;mobilenet_1.00_224/conv_dw_7_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_7/depthwise
CONV_2D,194,100352.0,0.013700909,-0.00032316055,0.15961045,0.00018796638,0.023529412,-128,mobilenet_1.00_224/conv_pw_7_relu/Relu6;mobilenet_1.00_224/conv_pw_7_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_7/Conv2D
DEPTHWISE_CONV_2D,198,100352.0,0.009131643,-8.488618e-05,0.10198105,8.342414e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_8_relu/Relu6;mobilenet_1.00_224/conv_dw_8_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_8/depthwise
CONV_2D,202,100352.0,0.014564988,-1.4892151e-05,0.13306591,0.00021222937,0.023529412,-128,mobilenet_1.00_224/conv_pw_8_relu/Relu6;mobilenet_1.00_224/conv_pw_8_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_8/Conv2D
DEPTHWISE_CONV_2D,206,100352.0,0.008311556,-2.6271553e-05,0.102041855,6.911635e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_9_relu/Relu6;mobilenet_1.00_224/conv_dw_9_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_9/depthwise
CONV_2D,210,100352.0,0.01617654,0.0004701269,0.1626188,0.00026201268,0.023529412,-128,mobilenet_1.00_224/conv_pw_9_relu/Relu6;mobilenet_1.00_224/conv_pw_9_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_9/Conv2D
DEPTHWISE_CONV_2D,214,100352.0,0.008193082,0.00027135943,0.08805952,6.723965e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_10_relu/Relu6;mobilenet_1.00_224/conv_dw_10_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_10/depthwise
CONV_2D,218,100352.0,0.017791923,0.0011995275,0.40607867,0.00031830923,0.023529412,-128,mobilenet_1.00_224/conv_pw_10_relu/Relu6;mobilenet_1.00_224/conv_pw_10_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_10/Conv2D
DEPTHWISE_CONV_2D,222,100352.0,0.0067062303,-6.0475348e-05,0.07909923,4.4999528e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_11_relu/Relu6;mobilenet_1.00_224/conv_dw_11_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_11/depthwise
CONV_2D,226,100352.0,0.016114173,0.00057588244,0.19697422,0.00026017308,0.023529412,-128,mobilenet_1.00_224/conv_pw_11_relu/Relu6;mobilenet_1.00_224/conv_pw_11_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_11/Conv2D
PAD,230,115200.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/conv_pad_12/Pad
DEPTHWISE_CONV_2D,234,25088.0,0.0063858014,0.00023986558,0.02868794,4.084184e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_12_relu/Relu6;mobilenet_1.00_224/conv_dw_12_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise
CONV_2D,238,50176.0,0.021266257,-0.00012837288,0.26631135,0.00045303738,0.023529412,-128,mobilenet_1.00_224/conv_pw_12_relu/Relu6;mobilenet_1.00_224/conv_pw_12_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D;mobilenet_1.00_224/conv_pw_12/Conv2D
DEPTHWISE_CONV_2D,242,50176.0,0.0055913264,0.00014179763,0.07216392,3.130064e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_13_relu/Relu6;mobilenet_1.00_224/conv_dw_13_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D;mobilenet_1.00_224/conv_dw_13/depthwise
CONV_2D,246,50176.0,0.049118526,0.00074576307,0.6042189,0.0024197225,0.023529412,-128,mobilenet_1.00_224/conv_pw_13_relu/Relu6;mobilenet_1.00_224/conv_pw_13_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D
MEAN,250,1024.0,0.0062815524,0.0007588222,0.012485191,4.0143794e-05,0.023529412,-128,mobilenet_1.00_224/global_average_pooling2d_1/Mean
RESHAPE,257,1024.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/reshape_1/Reshape
CONV_2D,261,1000.0,0.06356363,-0.00092167815,0.20511441,0.0040501403,0.1816101,-62,mobilenet_1.00_224/conv_preds/BiasAdd;mobilenet_1.00_224/conv_preds/Conv2D;mobilenet_1.00_224/conv_preds/BiasAdd/ReadVariableOp
RESHAPE,268,1000.0,0.0,0.0,0.0,0.0,0.1816101,-62,mobilenet_1.00_224/reshape_2/Reshape
SOFTMAX,272,1000.0,0.00014695346,-1.681654e-05,0.0019152572,3.0533663e-08,0.00390625,-128,StatefulPartitionedCall:0
